2026-05-08 20:59:28 | INFO     | bot.orders | Order request summary: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'price': '120000'}
2026-05-08 20:59:28 | INFO     | bot.client | Placing order — request params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'newOrderRespType': 'RESULT', 'price': '120000', 'timeInForce': 'GTC'}
2026-05-08 20:59:28 | DEBUG    | bot.client | Response: {'orderId': 13121012984, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'bVRQUtZtSbPlmB2hSEN2Ms', 'price': '120000.00', 'avgPrice': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1778254168967}
2026-05-08 20:59:28 | INFO     | bot.client | Order response: {'orderId': 13121012984, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'bVRQUtZtSbPlmB2hSEN2Ms', 'price': '120000.00', 'avgPrice': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1778254168967}
2026-05-08 20:59:28 | INFO     | __main__ | Order placed successfully — orderId: 13121012984
2026-05-08 21:37:33 | INFO     | root | Logging initialised — file: logs/trading_bot.log
2026-05-08 21:37:33 | INFO     | __main__ | CLI invoked — symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop_price=None
2026-05-08 21:37:33 | INFO     | bot.client | BinanceFuturesClient initialised — base URL: https://demo-fapi.binance.com
2026-05-08 21:37:33 | INFO     | bot.orders | Order request summary: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001'}
2026-05-08 21:37:33 | INFO     | bot.client | Placing order — request params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'newOrderRespType': 'RESULT'}
2026-05-08 21:37:33 | DEBUG    | bot.client | Response: {'orderId': 13121100159, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'tgHCVdeItJc5T4PQbFdu7z', 'price': '0.00', 'avgPrice': '80019.200000', 'origQty': '0.0010', 'executedQty': '0.0010', 'cumQty': '0.0010', 'cumQuote': '80.019200', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1778256453831}
2026-05-08 21:37:33 | INFO     | bot.client | Order response: {'orderId': 13121100159, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'tgHCVdeItJc5T4PQbFdu7z', 'price': '0.00', 'avgPrice': '80019.200000', 'origQty': '0.0010', 'executedQty': '0.0010', 'cumQty': '0.0010', 'cumQuote': '80.019200', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1778256453831}
2026-05-08 21:37:33 | INFO     | __main__ | Order placed successfully — orderId: 13121100159
2026-05-08 21:38:45 | INFO     | root | Logging initialised — file: logs/trading_bot.log
2026-05-08 21:38:45 | INFO     | __main__ | CLI invoked — symbol=BTCUSDT side=SELL type=LIMIT qty=0.001 price=120000 stop_price=None
2026-05-08 21:38:45 | INFO     | bot.client | BinanceFuturesClient initialised — base URL: https://demo-fapi.binance.com
2026-05-08 21:38:45 | INFO     | bot.orders | Order request summary: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'price': '120000'}
2026-05-08 21:38:45 | INFO     | bot.client | Placing order — request params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'newOrderRespType': 'RESULT', 'price': '120000', 'timeInForce': 'GTC'}
2026-05-08 21:38:46 | DEBUG    | bot.client | Response: {'orderId': 13121102606, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': '4mJfc9lXXuWjfiwAF0dtal', 'price': '120000.00', 'avgPrice': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1778256526345}
2026-05-08 21:38:46 | INFO     | bot.client | Order response: {'orderId': 13121102606, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': '4mJfc9lXXuWjfiwAF0dtal', 'price': '120000.00', 'avgPrice': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1778256526345}
2026-05-08 21:38:46 | INFO     | __main__ | Order placed successfully — orderId: 13121102606
